id;libelle;code;deleted
1;User-friendly;Harbor;true
2;Unbranded Russian Ruble;Avon Agent;true
3;stable invoice;redundant Mauritius bleeding-edge;true
4;mobile Markets Sudanese Pound;FTP capacitor;false
5;integrated hack Pennsylvania;TCP 6th generation;true
6;Fantastic;Baby;false
7;architect Georgia;Home Chile;false
8;connecting Jewelery Borders;Intelligent Granite Chair payment Oman;true
9;systems technologies Azerbaijan;systems;false
10;Handcrafted Wooden Cheese override neural;Sleek Home Loan Account;false
