id;libelle;code;prix;deleted;description;genre
1;conglomeration Marketing solutions;Health Future Grocery;76924;false;Cambridgeshire Accountability XSS;logistical Avon
2;Division;Trafficway auxiliary Myanmar;91188;false;GB Soap Enterprise-wide;morph
3;Shores Money Market Account;Soap deposit;92924;true;web-readiness;navigate Handmade Steel Table Sleek Fresh Cheese
4;THX Computer Land;emulation;91017;true;non-volatile Buckinghamshire;hack SMTP
5;array Beauty;Ball Chair Handmade;5889;false;violet Corporate;salmon 24/365 metrics
6;Multi-channelled Shirt;orange synergies;82032;true;Netherlands Antillian Guilder FTP;Avon
7;Keyboard platforms Liaison;Incredible Steel Bike;59094;false;instruction set;compress
8;Polarised;synergistic;75194;true;Handcrafted;Borders Bedfordshire invoice
9;National Computers;Cheese;62678;true;niches Walk;Cambridgeshire Auto Loan Account
10;enterprise feed;calculate;98134;true;Keyboard national;Persevering
