id;libelle;code;deleted
1;open-source leverage backing up;modular Product;false
2;Associate Switzerland;parse magenta;false
3;Soft Tasty Steel Cheese back-end;calculate Pre-emptive Checking Account;false
4;solution Customer Investment Account;bypassing Ergonomic Soft Car Cotton;true
5;evolve neutral;overriding Micronesia;true
6;deposit North Dakota;Small Fresh Shoes;true
7;Fantastic;Automotive;false
8;Principal payment transmit;drive core;false
9;Texas Borders Fantastic Rubber Hat;Auto Loan Account invoice Mews;true
10;Implemented Shoes Palladium;hierarchy;false
